num objects,r std,r var,r mean,r min,r max,snr std,snr var,snr mean,snr min,snr max,noise std,noise var,noise mean,noise min,noise max,enviroment,object,height
3,1.0031320385007483,1.0062738866666667,1.1343,0.2181,2.5304,41.651997417757634,1734.888888888889,174.33333333333334,128.0,229.0,53.23532661682466,2834.0,532.0,483.0,606.0,sunny,dime,7 
3,1.0031320385007483,1.0062738866666667,1.1343,0.2181,2.5304,41.651997417757634,1734.888888888889,174.33333333333334,128.0,229.0,53.23532661682466,2834.0,532.0,483.0,606.0,sunny,dime,7 
4,0.8689297684508226,0.7550389425000001,1.1452499999999999,0.2181,2.5304,42.115169476092575,1773.6875,169.75,115.0,233.0,77.54676008705972,6013.5,495.0,386.0,602.0,sunny,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,36.5,1332.25,204.5,168.0,241.0,57.5,3306.25,537.5,480.0,595.0,sunny,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,43.0,1849.0,204.0,161.0,247.0,50.0,2500.0,538.0,488.0,588.0,sunny,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,46.0,2116.0,213.0,167.0,259.0,48.0,2304.0,529.0,481.0,577.0,sunny,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,47.0,2209.0,215.0,168.0,262.0,46.5,2162.25,527.5,481.0,574.0,sunny,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,48.5,2352.25,218.5,170.0,267.0,44.5,1980.25,523.5,479.0,568.0,sunny,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,47.5,2256.25,216.5,169.0,264.0,45.5,2070.25,525.5,480.0,571.0,sunny,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,42.5,1806.25,213.5,171.0,256.0,51.0,2601.0,528.0,477.0,579.0,sunny,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,45.0,2025.0,213.0,168.0,258.0,48.5,2352.25,528.5,480.0,577.0,sunny,dime,7 
2,1.1561000000000001,1.3365672100000003,1.3743,0.2182,2.5304,46.0,2116.0,213.0,167.0,259.0,48.0,2304.0,529.0,481.0,577.0,sunny,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,49.0,2401.0,218.0,169.0,267.0,44.0,1936.0,524.0,480.0,568.0,sunny,dime,7 
2,1.1561000000000001,1.3365672100000003,1.3743,0.2182,2.5304,40.0,1600.0,208.0,168.0,248.0,53.5,2862.25,533.5,480.0,587.0,sunny,dime,7 
